import time: self [us] | cumulative | imported package
import time:        49 |         49 |           _wmi
import time:       372 |        420 |         platform
import time:        20 |         20 |           _uuid
import time:       216 |        236 |         uuid
import time:       408 |       1837 |       cloudpickle.cloudpickle
import time:       132 |       1968 |     cloudpickle
import time:       318 |        318 |       flyte._pod
import time:       858 |        858 |       flyte._resources
import time:       257 |        257 |       flyte._secret
import time:       391 |       1822 |     flyte._environment
import time:       554 |        554 |       flyte.errors
import time:      1270 |       1824 |     flyte._initialize
import time:       194 |        194 |     flyte._status
import time:       198 |        198 |       flyte._doc
import time:       101 |        101 |       flyte._link
import time:       469 |        469 |       flyte._retry
import time:       250 |        250 |       flyte._reusable_environment
import time:       190 |        190 |       flyte._timeout
import time:      1204 |       1204 |       flyte._trigger
import time:      1338 |       3748 |     flyte._task
import time:       508 |        508 |     flyte._task_environment
import time:       827 |      10889 |   flyte._deploy
import time:        85 |         85 |   flyte._excepthook
import time:        67 |         67 |   flyte._group
import time:       373 |        373 |   flyte._map
import time:        61 |         61 |     flyte._constants
import time:       703 |        764 |   flyte._run
import time:       248 |        248 |   flyte._run_python_script
import time:       212 |        212 |   flyte._serve
import time:        97 |         97 |   flyte._trace
import time:        58 |         58 |   flyte._version
import time:       231 |      70988 | flyte
